Movie,Actors,Director,Writer,Year,Language,Country,Genre
The Shawshank Redemption,"Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont,"Stephen King, Frank Darabont",1994,English,United States,Drama
The Godfather,"Marlon Brando, Al Pacino, James Caan",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",1972,"English, Italian, Latin",United States,"Crime, Drama"
The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer",2008,"English, Mandarin","United States, United Kingdom","Action, Crime, Drama"
Pulp Fiction,"John Travolta, Uma Thurman, Samuel L. Jackson",Quentin Tarantino,"Quentin Tarantino, Roger Avary",1994,"English, Spanish, French",United States,"Crime, Drama"
Batman Begins,"Christian Bale, Michael Caine, Ken Watanabe",Christopher Nolan,"Bob Kane, David S. Goyer, Christopher Nolan",2005,"English, Mandarin","United States, United Kingdom","Action, Crime, Drama"
Forrest Gump,"Tom Hanks, Robin Wright, Gary Sinise",Robert Zemeckis,"Winston Groom, Eric Roth",1994,English,United States,"Drama, Romance"
Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",Christopher Nolan,Christopher Nolan,2010,"English, Japanese, French","United States, United Kingdom","Action, Adventure, Sci-Fi"
The Matrix,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski",1999,English,"United States, Australia","Action, Sci-Fi"
Goodfellas,"Robert De Niro, Ray Liotta, Joe Pesci",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese",1990,"English, Italian",United States,"Biography, Crime, Drama"
The Silence of the Lambs,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney",Jonathan Demme,"Thomas Harris, Ted Tally",1991,"English, Latin",United States,"Crime, Drama, Thriller"
The Lord of the Rings: The Fellowship of the Ring,"Elijah Wood, Ian McKellen, Orlando Bloom",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",2001,"English, Sindarin","New Zealand, United States","Action, Adventure, Drama"
Star Wars: Episode IV - A New Hope,"Mark Hamill, Harrison Ford, Carrie Fisher",George Lucas,George Lucas,1977,English,United States,"Action, Adventure, Fantasy"
The Lord of the Rings: The Return of the King,"Elijah Wood, Viggo Mortensen, Ian McKellen",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",2003,"English, Quenya, Old English, Sindarin","New Zealand, United States","Action, Adventure, Drama"
The Lord of the Rings: The Two Towers,"Elijah Wood, Ian McKellen, Viggo Mortensen",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",2002,"English, Sindarin, Old English","New Zealand, United States","Action, Adventure, Drama"
Se7en,"Morgan Freeman, Brad Pitt, Kevin Spacey",David Fincher,Andrew Kevin Walker,1995,English,United States,"Crime, Drama, Mystery"
